Company Name ,Street Address ,Geocode Address,City,Zip,State,Category
Academy Securities,550 W Van Buren St Suite 1410,551 W Van Buren St,Chicago,60607,IL,Capital Markets
Accenture,161 N Clark St,162 N Clark St,Chicago,60601,IL,Consulting
Activ Financial,"125 South Wacker Drive, Suite 2325",126 South Wacker Drive,Chicago,60606,IL,Data & Analytics
Aegea Capital ,"233 South Wacker Drive, Suite 8625",234 South Wacker Drive,Chicago,60606,IL,Capital Markets
Algo Fast,"333 N Canal Street, #2205",334 N Canal Street,Chicago,60606,IL,Technology
Anderson Pacific ,"NBC Tower, 455 N Cityfront Plaza Dr #2750",455 N Cityfront Plaza Dr,Chicago,60611,IL,Investor
Anova Technologies,205 N Michigan Ave #4230,206 N Michigan Ave,Chicago,60601,IL,Data & Analytics
Arrow Payments,935 W Chestnut St,936 W Chestnut St,Chicago,60642,IL,Payments
Ashland Partners and Company LLP,33 North LaSalle Street Suite 2330,34 North LaSalle Street,Chicago,60602,IL,Service Provider
Avant Credit ,"640 N. LaSalle #555, Chicago",641 N. LaSalle Dr.,Chicago,60606,IL,Lending
Aviva Investors of America,225 W Upper Wacker Dr,226 W Upper Wacker Dr,Chicago,60606,IL,Investment Management
Backstop Solutions Group,"Willis Tower, 233 S Wacker Dr #3960",233 S Wacker Dr,Chicago,60606,IL,Consulting
Baird Private Equity,"227 West Monroe Street
Suite 1900",227 West Monroe Street,Chicago,60606,IL,Investor
Bank of America,231 South La Salle Street,232 South La Salle Street,Chicago,60604,IL,Banking
Barchart,209 W Jackson Blvd #200,210 W Jackson Blvd,Chicago,60606,IL,Data & Analytics
BOE Group,"120 N. LaSalle Street, Suite1500",121 N. LaSalle Street,Chicago,60602,IL,Capital Markets
Braintree,"Suite 800, Merchandise Mart Properties, Inc., 222 W Merchandise Mart Plaza",222 W Merchandise Mart Plaza,Chicago,60654,IL,Payments
Brown Brothers Harriman,150 S Wacker Dr # 3250,151 S Wacker Dr,Chicago,60606,IL,Banking
Caherciveen Partners ,500 West Madison St # 1610,501 West Madison St,Chicago,60661,IL,Capital Markets
Card Connect ,317 N. Racine Avenue,318 N. Racine Avenue,Chicago,60607,IL,Payments
Center for Financial Services Innovation,21 N Clark St #1950,22 N Clark St,Chicago,60602,IL,Organization
